driver,lapnumber,laptime,compound,tyrelife,position,race_round,year
NOR,1.0,87.198,MEDIUM,1.0,4.0,7,2026
NOR,2.0,82.251,MEDIUM,2.0,4.0,7,2026
NOR,3.0,82.422,MEDIUM,3.0,4.0,7,2026
NOR,4.0,82.773,MEDIUM,4.0,4.0,7,2026
NOR,5.0,83.287,MEDIUM,5.0,4.0,7,2026
NOR,6.0,83.226,MEDIUM,6.0,4.0,7,2026
NOR,7.0,83.357,MEDIUM,7.0,4.0,7,2026
NOR,8.0,83.392,MEDIUM,8.0,4.0,7,2026
NOR,9.0,83.501,MEDIUM,9.0,4.0,7,2026
NOR,10.0,83.319,MEDIUM,10.0,4.0,7,2026
NOR,11.0,83.401,MEDIUM,11.0,3.0,7,2026
NOR,12.0,83.618,MEDIUM,12.0,3.0,7,2026
NOR,13.0,87.846,MEDIUM,13.0,2.0,7,2026
NOR,14.0,100.651,HARD,1.0,6.0,7,2026
NOR,15.0,82.07,HARD,2.0,5.0,7,2026
NOR,16.0,82.193,HARD,3.0,5.0,7,2026
NOR,17.0,81.944,HARD,4.0,4.0,7,2026
NOR,18.0,81.981,HARD,5.0,4.0,7,2026
NOR,19.0,82.354,HARD,6.0,4.0,7,2026
NOR,20.0,82.243,HARD,7.0,4.0,7,2026
NOR,21.0,82.375,HARD,8.0,4.0,7,2026
NOR,22.0,82.022,HARD,9.0,4.0,7,2026
NOR,23.0,82.279,HARD,10.0,4.0,7,2026
NOR,24.0,82.444,HARD,11.0,4.0,7,2026
NOR,25.0,82.463,HARD,12.0,4.0,7,2026
NOR,26.0,82.664,HARD,13.0,4.0,7,2026
NOR,27.0,82.909,HARD,14.0,3.0,7,2026
NOR,28.0,82.66,HARD,15.0,3.0,7,2026
NOR,29.0,83.254,HARD,16.0,3.0,7,2026
NOR,30.0,83.156,HARD,17.0,3.0,7,2026
NOR,31.0,82.947,HARD,18.0,3.0,7,2026
NOR,32.0,83.597,HARD,19.0,3.0,7,2026
